kind,title,source_record,file_url,local_file,bytes,status
legislation,"Regulation on carrying out controls and application of sanctions to foreign exchange entities, approved by the Decision of the Executive Board of the NBM No 187/2023",https://www.bnm.md/en/content/regulation-carrying-out-controls-and-application-sanctions-foreign-exchange-entities,https://www.bnm.md/files/Reg ctrl_sanct USV_en_final.pdf,C:\Users\harab\Desktop\BNM_site_inventory\source_files\046__Reg ctrl_sanct USV_en_final.pdf,353233,downloaded
legislation,"Regulation on carrying out controls and application of sanctions to foreign exchange entities, approved by the Decision of the Executive Board of the NBM No 187/2023",https://www.bnm.md/en/content/regulation-carrying-out-controls-and-application-sanctions-foreign-exchange-entities,https://www.bnm.md/files/Reg ctrl_sanct USV_en_final.docx,C:\Users\harab\Desktop\BNM_site_inventory\source_files\047__Reg ctrl_sanct USV_en_final.docx,58120,downloaded
legislation,Regulation on the calculation and payment of contributions to the bank resolution fund No 74 of 20.03.2020,https://www.bnm.md/en/content/regulation-calculation-and-payment-contributions-bank-resolution-fund-no-74-20032020,https://www.bnm.md/files/3_ Regulation  - contributions to the Bank Resolution Fund  (en) (1).pdf,C:\Users\harab\Desktop\BNM_site_inventory\source_files\048__3_ Regulation - contributions to the Bank Resolution Fund (en) (1).pdf,185876,downloaded
legislation,Regulation on the calculation and payment of contributions to the bank resolution fund No 74 of 20.03.2020,https://www.bnm.md/en/content/regulation-calculation-and-payment-contributions-bank-resolution-fund-no-74-20032020,https://www.bnm.md/files/3_ Regulation  - contributions to the Bank Resolution Fund  (en) (1)_1.doc,C:\Users\harab\Desktop\BNM_site_inventory\source_files\049__3_ Regulation - contributions to the Bank Resolution Fund (en) (1)_1.doc,114688,downloaded
legislation,"Regulation on consolidated supervision of banks, approved by the Decision of the Executive Board of the NBM no 101 of 16.04.2020",https://www.bnm.md/en/content/regulation-consolidated-supervision-banks,https://www.bnm.md/files/Consolidation Regulation (1).pdf,C:\Users\harab\Desktop\BNM_site_inventory\source_files\050__Consolidation Regulation (1).pdf,128101,downloaded
legislation,"Regulation on consolidated supervision of banks, approved by the Decision of the Executive Board of the NBM no 101 of 16.04.2020",https://www.bnm.md/en/content/regulation-consolidated-supervision-banks,https://www.bnm.md/files/Consolidation Regulation (1).docx,C:\Users\harab\Desktop\BNM_site_inventory\source_files\051__Consolidation Regulation (1).docx,33057,downloaded
legislation,"Regulation on Certain Aspects Related to Export and Import of Cash and of Traveller’s Cheques by Banks, approved by DEB of the NBM No 165 of June 14, 2019",https://www.bnm.md/en/content/regulation-certain-aspects-related-export-and-import-cash-and-travellers-cheques-banks,https://www.bnm.md/files/1_en_reg exp imp b_hce165_ro_dp publ.pdf,C:\Users\harab\Desktop\BNM_site_inventory\source_files\052__1_en_reg exp imp b_hce165_ro_dp publ.pdf,457716,downloaded
legislation,"Regulation on Certain Aspects Related to Export and Import of Cash and of Traveller’s Cheques by Banks, approved by DEB of the NBM No 165 of June 14, 2019",https://www.bnm.md/en/content/regulation-certain-aspects-related-export-and-import-cash-and-travellers-cheques-banks,https://www.bnm.md/files/1_en_reg exp imp b_hce165_ro_dp publ.doc,C:\Users\harab\Desktop\BNM_site_inventory\source_files\053__1_en_reg exp imp b_hce165_ro_dp publ.doc,119808,downloaded
legislation,"Regulation on regulatory technical standards on the supplementary supervision of financial conglomerates, approved by the Decision of the Executive Board of the National Bank of Moldova No 31 of February 13, 2020",https://www.bnm.md/en/content/regulation-regulatory-technical-standards-supplementary-supervision-financial-conglomerates,https://www.bnm.md/files/Financial conglomerates regulation.pdf,C:\Users\harab\Desktop\BNM_site_inventory\source_files\054__Financial conglomerates regulation.pdf,185686,downloaded
legislation,"Regulation on regulatory technical standards on the supplementary supervision of financial conglomerates, approved by the Decision of the Executive Board of the National Bank of Moldova No 31 of February 13, 2020",https://www.bnm.md/en/content/regulation-regulatory-technical-standards-supplementary-supervision-financial-conglomerates,https://www.bnm.md/files/Financial conglomerates regulation.docx,C:\Users\harab\Desktop\BNM_site_inventory\source_files\055__Financial conglomerates regulation.docx,49262,downloaded
