id,kind,title,file_url,source_record,original,raw,source_file_sha256,body_sha256,extraction_status
47,legislation,"Regulation on carrying out controls and application of sanctions to foreign exchange entities, approved by the Decision of the Executive Board of the NBM No 187/2023",https://www.bnm.md/files/Reg ctrl_sanct USV_en_final.docx,https://www.bnm.md/en/content/regulation-carrying-out-controls-and-application-sanctions-foreign-exchange-entities,legal/original/047__Reg ctrl_sanct USV_en_final.docx,legal/documents/047__Reg ctrl_sanct USV_en_final.docx.md,104bccbb542b071e94422a9926d937a1b5e004b684d53bbbe832095036a7ddef,97d08f12351bc9d872298ac491a2a40f877082fb2a38611f22852050babf4eaa,text-extracted
48,legislation,Regulation on the calculation and payment of contributions to the bank resolution fund No 74 of 20.03.2020,https://www.bnm.md/files/3_ Regulation  - contributions to the Bank Resolution Fund  (en) (1).pdf,https://www.bnm.md/en/content/regulation-calculation-and-payment-contributions-bank-resolution-fund-no-74-20032020,legal/original/048__3_ Regulation - contributions to the Bank Resolution Fund (en) (1).pdf,legal/documents/048__3_ Regulation - contributions to the Bank Resolution Fund (en) (1).pdf.md,0d04f11aa02fc4bd86efe7114f095963698c6cbdc5da1438ce1adcf6078f603f,abc39cbf5e399b45a5f911690d8533ee09516edd08eb03a28338b987ca13b21f,text-extracted
49,legislation,Regulation on the calculation and payment of contributions to the bank resolution fund No 74 of 20.03.2020,https://www.bnm.md/files/3_ Regulation  - contributions to the Bank Resolution Fund  (en) (1)_1.doc,https://www.bnm.md/en/content/regulation-calculation-and-payment-contributions-bank-resolution-fund-no-74-20032020,legal/original/049__3_ Regulation - contributions to the Bank Resolution Fund (en) (1)_1.doc,legal/documents/049__3_ Regulation - contributions to the Bank Resolution Fund (en) (1)_1.doc.md,1cabe63a85196cc4a6c0a57f8a9c446217c135d38645427368fa9022a9cbb416,1dc6a9f9de540f715fade138560e293190056965c8b81918fe1695d09ac03556,text-extracted
50,legislation,"Regulation on consolidated supervision of banks, approved by the Decision of the Executive Board of the NBM no 101 of 16.04.2020",https://www.bnm.md/files/Consolidation Regulation (1).pdf,https://www.bnm.md/en/content/regulation-consolidated-supervision-banks,legal/original/050__Consolidation Regulation (1).pdf,legal/documents/050__Consolidation Regulation (1).pdf.md,f5f1723ac9b60c286cfb938c9cbba09b0e824cd9a7bfa3d334f15b5a3e1ab79c,384d234bdadade232186ef66a695db10999281e97223716bf6fdf8f65e76d489,text-extracted
51,legislation,"Regulation on consolidated supervision of banks, approved by the Decision of the Executive Board of the NBM no 101 of 16.04.2020",https://www.bnm.md/files/Consolidation Regulation (1).docx,https://www.bnm.md/en/content/regulation-consolidated-supervision-banks,legal/original/051__Consolidation Regulation (1).docx,legal/documents/051__Consolidation Regulation (1).docx.md,a490c217ff00a6432f01eef5f21295fbfd71039cc2895bcc66d3acd82f9c03e7,efed01915449fcaee9dc16670c2c9a4cf356594781d4dbbc7d952392f9faaae5,text-extracted
52,legislation,"Regulation on Certain Aspects Related to Export and Import of Cash and of Traveller’s Cheques by Banks, approved by DEB of the NBM No 165 of June 14, 2019",https://www.bnm.md/files/1_en_reg exp imp b_hce165_ro_dp publ.pdf,https://www.bnm.md/en/content/regulation-certain-aspects-related-export-and-import-cash-and-travellers-cheques-banks,legal/original/052__1_en_reg exp imp b_hce165_ro_dp publ.pdf,legal/documents/052__1_en_reg exp imp b_hce165_ro_dp publ.pdf.md,26053c3e285cd911545c057bbf481cc236940c4c6c144855abb32170f2e08d03,20489399a8cd9462c0eb1c3998d362214ba67b1ad436a5d122b3d33bf2428f53,text-extracted
53,legislation,"Regulation on Certain Aspects Related to Export and Import of Cash and of Traveller’s Cheques by Banks, approved by DEB of the NBM No 165 of June 14, 2019",https://www.bnm.md/files/1_en_reg exp imp b_hce165_ro_dp publ.doc,https://www.bnm.md/en/content/regulation-certain-aspects-related-export-and-import-cash-and-travellers-cheques-banks,legal/original/053__1_en_reg exp imp b_hce165_ro_dp publ.doc,legal/documents/053__1_en_reg exp imp b_hce165_ro_dp publ.doc.md,5f048c315a989ec87058fa23782d596861fd07f141035c95ebf892ac1b0e925c,a876ef7625989f055ef306d4da548f14da6dace57797297fd05e7df41a6793a5,text-extracted
54,legislation,"Regulation on regulatory technical standards on the supplementary supervision of financial conglomerates, approved by the Decision of the Executive Board of the National Bank of Moldova No 31 of February 13, 2020",https://www.bnm.md/files/Financial conglomerates regulation.pdf,https://www.bnm.md/en/content/regulation-regulatory-technical-standards-supplementary-supervision-financial-conglomerates,legal/original/054__Financial conglomerates regulation.pdf,legal/documents/054__Financial conglomerates regulation.pdf.md,1b335db646b7edc9596bde2d2936d8617abd415985704c521fcbdc0321ebcf56,8db4eb04e87b3d97d9e118447b6b0d421e21d3ca33137e81c17042e17d415460,text-extracted
55,legislation,"Regulation on regulatory technical standards on the supplementary supervision of financial conglomerates, approved by the Decision of the Executive Board of the National Bank of Moldova No 31 of February 13, 2020",https://www.bnm.md/files/Financial conglomerates regulation.docx,https://www.bnm.md/en/content/regulation-regulatory-technical-standards-supplementary-supervision-financial-conglomerates,legal/original/055__Financial conglomerates regulation.docx,legal/documents/055__Financial conglomerates regulation.docx.md,5cdf2682bc0edcd50be1172c6eda73305eae28090b086ed32b93cb5ac9cd9632,2cbac272495e5ab3c38ba3a87d1cf35578ad6604a503dfcddaf14e0203bcd33d,text-extracted
56,legislation,"Regulation on the requirements for publication of information by banks, approved by the Decision of the Executive Board of the National Bank of Moldova, No. 158 of 9 July 2020",https://www.bnm.md/files/EN_Regulamentul nr_158 din 2020 cu privire la cerintele de publicare.pdf,https://www.bnm.md/en/content/regulation-requirements-publication-information-banks-approved-decision-executive-board,legal/original/056__EN_Regulamentul nr_158 din 2020 cu privire la cerintele de publicare.pdf,legal/documents/056__EN_Regulamentul nr_158 din 2020 cu privire la cerintele de publicare.pdf.md,208a991ae469994b512a30b1958852244f5aadc1bb52e7897977ec16b1e142ac,7b31139d785949380074e3270fd60ae71934517ee1e9da876baf175269960577,text-extracted
